name,team,situation,position,icetime,I_F_points,I_F_goals
Ilya Lyubushkin,TOR,all,D,80654,15,2
Dominic Toninato,WPG,all,C,38801,14,7
Buddy Robinson,ANA,all,R,17754,6,1
Logan O'Connor,COL,all,R,67415,24,8
T.J. Tynan,LAK,all,C,1301,0,0
Declan Chisholm,WPG,all,D,1554,0,0
Jayden Halbgewachs,SJS,all,L,2357,1,0
Shea Theodore,VGK,all,D,108267,52,14
Nick Merkley,SJS,all,R,6702,3,1
Kevin Connauton,PHI,all,D,30599,3,1
Alex Steeves,TOR,all,C,1435,1,0
Victor Hedman,TBL,all,D,123372,85,20
Alexander Kerfoot,TOR,all,C,74856,51,13
Isaac Ratcliffe,PHI,all,L,6448,4,1
Johan Larsson,WSH,all,L,41048,21,7
Matt Grzelcyk,BOS,all,D,82025,24,4
Charlie McAvoy,BOS,all,D,115386,56,10
Pavel Dorofeyev,VGK,all,L,780,0,0
Simon Benoit,ANA,all,D,44814,5,1
Brendan Gallagher,MTL,all,R,50462,24,7
Thomas Hickey,NYI,all,D,2337,0,0
Petteri Lindbohm,FLA,all,D,7590,1,0
Alex Iafallo,LAK,all,L,87703,37,17
Jake DeBrusk,BOS,all,L,69468,42,25
Brett Seney,TOR,all,L,842,0,0
Keegan Kolesar,VGK,all,R,58445,24,7
Brenden Dillon,WPG,all,D,89267,20,3
Kyle Burroughs,VAN,all,D,32600,5,1
Cameron Hillis,MTL,all,C,615,0,0
Tyler Ennis,OTT,all,R,42896,24,8
Sean Kuraly,CBJ,all,C,73273,30,14
Ryan Poehling,MTL,all,C,41708,17,9
Christian Jaros,NJD,all,D,7267,0,0
Brayden Pachal,VGK,all,D,1171,0,0
Nicolas Deslauriers,MIN,all,L,55236,13,8
Eric Robinson,CBJ,all,L,55846,27,10
Jonathan Marchessault,VGK,all,C,80161,66,30
Victor Rask,SEA,all,C,34391,21,9
Matt Martin,NYI,all,L,48733,7,3
Andrew Peeke,CBJ,all,D,105665,15,2
Travis Boyd,ARI,all,C,73329,35,17
Trevor Zegras,ANA,all,C,80582,61,23
Danny DeKeyser,DET,all,D,65505,11,0
Jonas Rondbjerg,VGK,all,R,18022,6,2
Jason Zucker,PIT,all,L,36458,17,8
Troy Stecher,LAK,all,D,29003,3,1
Sam Reinhart,FLA,all,C,83112,82,33
Cale Fleury,SEA,all,D,1559,0,0
Evander Kane,EDM,all,L,50182,39,22
Adam Raska,SJS,all,R,2417,0,0
Anthony Mantha,WSH,all,R,33675,23,9
Zack Kassian,EDM,all,R,41010,19,6
Marc McLaughlin,BOS,all,C,6921,3,3
Andy Andreoff,NYI,all,C,3595,1,1
Brandon Baddock,MTL,all,L,504,0,0
Nicolas Aube-Kubel,COL,all,R,43584,23,11
Jakub Zboril,BOS,all,D,9435,3,0
Robin Salo,NYI,all,D,21031,5,1
Nolan Foote,NJD,all,L,4354,4,3
Jaycob Megna,SJS,all,D,50478,8,2
Joel Farabee,PHI,all,L,66479,34,17
Miro Heiskanen,DAL,all,D,104526,36,5
Mitchell Stephens,DET,all,C,18109,6,0
Zach Werenski,CBJ,all,D,104700,48,11
Nathan Bastian,NJD,all,R,51432,18,12
J.J. Moser,ARI,all,D,48228,15,4
Linus Hogberg,PHI,all,D,5119,2,0
Brandon Hagel,TBL,all,L,75568,44,25
Sean Monahan,CGY,all,C,54831,23,8
Kevin Labanc,SJS,all,R,16747,6,3
Andy Greene,NYI,all,D,72083,10,2
William Karlsson,VGK,all,C,73493,35,12
Robert Thomas,STL,all,C,81115,77,20
Morgan Geekie,SEA,all,C,55224,22,7
David Pastrnak,BOS,all,R,80372,77,40
Jonny Brodzinski,NYR,all,C,14330,2,1
Curtis Lazar,BOS,all,C,50375,16,8
Matias Maccelli,ARI,all,L,19592,6,1
Ryan Graves,NJD,all,D,93211,28,6
Juho Lammikko,VAN,all,L,55242,15,7
Mark Scheifele,WPG,all,C,84958,70,29
Kris Letang,PIT,all,D,120638,68,10
Noah Hanifin,CGY,all,D,103554,48,10
Adam Fox,NYR,all,D,111886,74,11
John Marino,PIT,all,D,100295,25,1
Sam Steel,ANA,all,C,50233,20,6
Tanner Jeannot,NSH,all,L,77699,41,24
Mike Hoffman,MTL,all,C,68509,35,15
Nick Holden,OTT,all,D,90510,19,5
Henrik Borgstrom,CHI,all,C,32819,7,4
Danny O'Regan,ANA,all,C,3017,1,0
Corey Schueneman,MTL,all,D,23903,6,2
Dmitrij Jaskin,ARI,all,R,10645,1,0
Zachary Hayes,VGK,all,D,1959,0,0
Josiah Slavin,CHI,all,L,10827,1,0
John Carlson,WSH,all,D,111435,71,17
Grigori Denisenko,FLA,all,L,930,0,0
Carl Hagelin,WSH,all,L,45274,14,3
Bobby Brink,PHI,all,R,9269,4,0
Casey Cizikas,NYI,all,C,61036,16,10
Stefan Matteau,COL,all,C,219,0,0
Filip Hronek,DET,all,D,103086,38,5
Barclay Goodrow,NYR,all,C,79216,33,13
Wade Allison,PHI,all,R,496,0,0
Jake Evans,MTL,all,C,67371,29,13
Beck Malenstyn,WSH,all,L,6512,1,1
Sean Walker,LAK,all,D,6614,2,0
Patrick Brown,PHI,all,C,32825,9,4
Alex Goligoski,MIN,all,D,81784,30,2
Quinn Hughes,VAN,all,D,115056,68,8
Danton Heinen,PIT,all,L,57980,33,18
Phillip Danault,LAK,all,C,85916,51,27
Alexander Holtz,NJD,all,R,6626,2,0
Brett Murray,BUF,all,L,14804,6,2
Marcus Pettersson,PIT,all,D,67630,19,2
Jacob Moverare,LAK,all,D,18629,2,0
Zach Parise,NYI,all,L,75198,35,15
Boone Jenner,CBJ,all,C,72445,44,23
Jacob Middleton,MIN,all,D,73990,14,4
Connor Dewar,MIN,all,C,20782,6,2
Nick Seeler,PHI,all,D,33742,3,1
Evgeny Kuznetsov,WSH,all,C,96129,78,24
Frank Vatrano,NYR,all,C,56058,32,18
Cody Eakin,BUF,all,C,56250,12,4
Evan Rodrigues,PIT,all,C,77918,43,19
Hayden Hodgson,PHI,all,R,4752,3,1
Vinni Lettieri,ANA,all,C,23279,10,5
Rasmus Kupari,LAK,all,C,40359,13,5
Mackenzie MacEachern,STL,all,L,6694,2,0
Nino Niederreiter,CAR,all,R,66779,44,24
Ryan O'Reilly,STL,all,C,89298,58,21
Radek Faksa,DAL,all,C,72852,19,5
Michael Pezzetta,MTL,all,L,23978,11,5
Conor Sheary,WSH,all,L,65118,43,19
Axel Jonsson-Fjallby,WSH,all,L,15431,4,2
Christian Fischer,ARI,all,R,41698,10,5
Alex DeBrincat,CHI,all,L,102613,78,41
Michael Rasmussen,DET,all,C,69687,27,15
Morgan Frost,PHI,all,C,45944,16,5
Ben Hutton,VGK,all,D,53819,13,3
Kirill Semyonov,TOR,all,C,1807,0,0
Matt Duchene,NSH,all,C,88984,86,43
Jesper Fast,CAR,all,R,72868,34,14
Ryan MacInnis,BUF,all,C,600,0,0
Anze Kopitar,LAK,all,C,100940,67,19
Zemgus Girgensons,BUF,all,L,49692,18,10
Adam Ruzicka,CGY,all,C,17176,10,5
Nick Jensen,WSH,all,D,88215,21,5
Dmitry Orlov,WSH,all,D,95590,35,12
Steven Fogarty,BOS,all,C,1236,0,0
Carl Dahlstrom,TOR,all,D,2457,2,0
Casey Mittelstadt,BUF,all,C,38689,19,6
Karson Kuhlman,SEA,all,C,31425,10,3
Michael McCarron,NSH,all,R,31791,14,7
Pierre-Luc Dubois,WPG,all,L,91951,60,28
Dakota Joshua,STL,all,C,15287,8,3
Frederick Gaudreau,MIN,all,C,74391,44,14
Glenn Gawdin,CGY,all,C,1109,0,0
Cole Reinhardt,OTT,all,L,515,0,0
Nils Lundkvist,NYR,all,D,20898,4,1
Nathan Smith,ARI,all,C,8490,4,2
Paul Byron,MTL,all,L,20413,7,4
Gemel Smith,DET,all,C,865,0,0
Jansen Harkins,WPG,all,C,43782,13,7
David Gustafsson,WPG,all,C,296,0,0
Carter Rowney,DET,all,C,16643,6,4
Anton Stralman,ARI,all,D,94747,23,8
Michael Amadio,VGK,all,C,40857,18,11
Andre Burakovsky,COL,all,L,78040,61,22
Rasmus Sandin,TOR,all,D,51896,16,5
Benoit-Olivier Groulx,ANA,all,C,11874,3,1
Mark Borowiecki,NSH,all,D,44869,4,0
Josh Brown,BOS,all,D,44356,6,0
Ronnie Attard,PHI,all,D,14935,4,2
Andrei Svechnikov,CAR,all,R,80776,69,30
Michael Raffl,DAL,all,L,66285,16,7
Pavel Zacha,NJD,all,C,70788,36,15
Eeli Tolvanen,NSH,all,R,60425,23,11
Chandler Stephenson,VGK,all,C,91504,64,21
Brian Boyle,PIT,all,C,42724,21,11
John Leonard,SJS,all,L,9475,2,1
Derek Ryan,EDM,all,C,51439,22,10
Marian Studenic,DAL,all,L,22071,4,2
Colton White,NJD,all,D,21470,4,0
Greg Pateryn,ANA,all,D,8472,2,1
Jaden Schwartz,SEA,all,C,40974,23,8
Pierre-Olivier Joseph,PIT,all,D,4374,0,0
Josh Archibald,EDM,all,R,4340,1,0
Jack Rathbone,VAN,all,D,7465,0,0
Jonathan Huberdeau,FLA,all,L,93324,115,30
Dylan Coghlan,VGK,all,D,50269,13,3
Reilly Walsh,NJD,all,D,863,1,0
Jacob Larsson,ANA,all,D,5498,1,0
Joel Edmundson,MTL,all,D,28200,6,3
Tyler Toffoli,CGY,all,R,72387,49,20
Anthony Greco,NYR,all,R,584,0,0
Dustin Brown,LAK,all,R,56595,28,9
Noah Dobson,NYI,all,D,103012,51,13
Ville Heinola,WPG,all,D,10723,5,0
Josh Bailey,NYI,all,R,74990,44,14
Derek Grant,ANA,all,C,60976,29,15
Cam York,PHI,all,D,34346,10,3
Ryan Pulock,NYI,all,D,71014,21,5
Erik Brannstrom,OTT,all,D,62854,14,0
Jujhar Khaira,CHI,all,L,22032,3,3
Hampus Lindholm,BOS,all,D,95877,27,5
Alex Formenton,OTT,all,L,73241,32,18
Andrew Mangiapane,CGY,all,L,77377,55,35
P.K. Subban,NJD,all,D,84528,22,5
Matty Beniers,SEA,all,C,10164,9,3
Alexander True,SEA,all,C,3959,0,0
Jeremy Lauzon,NSH,all,D,69979,7,2
Anthony Beauvillier,NYI,all,L,75750,34,12
Alex Turcotte,LAK,all,C,5400,0,0
Timo Meier,SJS,all,R,88501,76,35
Mason Appleton,WPG,all,C,60731,21,8
Zach Aston-Reese,ANA,all,C,53975,15,5
Ryan Getzlaf,ANA,all,C,63699,37,3
Jordan Gross,COL,all,D,499,0,0
Fredrik Claesson,TBL,all,D,5327,0,0
Jack Johnson,COL,all,D,82251,14,2
Brayden Tracey,ANA,all,L,561,0,0
Bryan Rust,PIT,all,R,67573,58,24
Nic Dowd,WSH,all,C,54769,24,10
Adam Boqvist,CBJ,all,D,53183,22,11
Jalen Chatfield,CAR,all,D,14197,3,0
C.J. Smith,CAR,all,L,562,0,0
Jordan Staal,CAR,all,C,77838,36,17
Andrew Cogliano,COL,all,C,56254,16,4
Kevin Bahl,NJD,all,D,16060,4,1
Janne Kuokkanen,NJD,all,C,46141,17,6
Roman Josi,NSH,all,D,122661,96,23
Isaak Phillips,CHI,all,D,2961,0,0
Radko Gudas,FLA,all,D,83234,16,3
Kyle Rau,MIN,all,C,2645,0,0
Robert Bortuzzo,STL,all,D,60170,6,1
Jared Spurgeon,MIN,all,D,82485,40,10
Kyle Okposo,BUF,all,R,74489,45,21
Nikita Okhotiuk,NJD,all,D,4564,2,1
Kevin Shattenkirk,ANA,all,D,105372,35,8
Vladislav Gavrikov,CBJ,all,D,106978,33,5
Riley Stillman,CHI,all,D,46999,12,2
Anthony Cirelli,TBL,all,C,83504,43,17
Ben Meyers,COL,all,C,2984,1,1
Dryden Hunt,NYR,all,L,56031,17,6
Jared McCann,SEA,all,L,71653,50,27
Aliaksei Protas,WSH,all,C,23430,9,3
Walker Duehr,CGY,all,R,527,0,0
Loui Eriksson,ARI,all,L,56591,19,3
Justin Schultz,WSH,all,D,75125,23,4
Fredrik Karlstrom,DAL,all,C,1116,1,0
Dylan Gambrell,OTT,all,C,45875,7,3
Samuel Fagemo,LAK,all,L,3293,0,0
Yanni Gourde,SEA,all,C,82066,48,21
Mikhail Maltsev,COL,all,L,8717,0,0
Adam Gaudette,OTT,all,C,39392,14,5
Josh Norris,OTT,all,C,73573,55,35
Nic Petan,VAN,all,C,11110,2,0
Brendan Lemieux,LAK,all,L,32235,13,8
Lukas Vejdemo,MTL,all,C,3829,1,1
Rasmus Asplund,BUF,all,C,68533,27,8
Joseph Cramarossa,MIN,all,C,415,1,0
